Channel,Energy,Counts
0,0.11128406,0
1,0.111702129,0
2,0.112120753,0
3,0.112539931,0
4,0.112959665,0
5,0.113379954,0
6,0.113800798,0
7,0.114222197,1
8,0.114644151,1
9,0.11506666,2
10,0.115489723,8
11,0.115913342,7
12,0.116337516,6
13,0.116762245,7
14,0.117187529,6
15,0.117613368,17
16,0.118039762,501
17,0.11846671,6685
18,0.118894214,8516
19,0.119322273,8712
20,0.119750887,9195
21,0.120180056,8942
22,0.12060978,9019
23,0.121040059,9089
24,0.121470892,9118
25,0.121902281,8351
26,0.122334225,7674
27,0.122766724,7378
28,0.123199778,6935
29,0.123633387,6485
30,0.12406755,5944
31,0.124502269,5439
32,0.124937543,4824
33,0.125373372,4442
34,0.125809756,3866
35,0.126246695,3627
36,0.126684188,3191
37,0.127122237,2998
38,0.127560841,2706
39,0.128,2484
40,0.128439714,2484
41,0.128879983,2249
42,0.129320807,2275
43,0.129762185,2139
44,0.130204119,2211
45,0.130646608,2250
46,0.131089652,2275
47,0.131533251,2470
48,0.131977405,2654
49,0.132422113,2815
50,0.132867377,3023
51,0.133313196,3331
52,0.13375957,3755
53,0.134206499,4037
54,0.134653982,4423
55,0.135102021,4787
56,0.135550615,5357
57,0.135999764,5759
58,0.136449468,6250
59,0.136899727,6957
60,0.13735054,7485
61,0.137801909,8133
62,0.138253833,8807
63,0.138706312,9368
64,0.139159346,9949
65,0.139612935,10606
66,0.140067078,11440
67,0.140521777,12081
68,0.140977031,12469
69,0.14143284,13322
70,0.141889204,13940
71,0.142346123,14339
72,0.142803596,14987
73,0.143261625,15706
74,0.143720209,16111
75,0.144179348,16434
76,0.144639042,16920
77,0.14509929,17326
78,0.145560094,17711
79,0.146021453,17694
80,0.146483367,17748
81,0.146945836,17871
82,0.147408859,18041
83,0.147872438,17852
84,0.148336572,17679
85,0.148801261,17826
86,0.149266505,17405
87,0.149732304,17430
88,0.150198657,17006
89,0.150665566,16536
90,0.15113303,16482
91,0.151601049,15910
92,0.152069623,15348
93,0.152538751,14932
94,0.153008435,14443
95,0.153478674,13610
96,0.153949468,13044
97,0.154420817,12732
98,0.15489272,11982
99,0.155365179,11656
100,0.155838193,10937
101,0.156311762,10434
102,0.156785886,9797
103,0.157260564,9253
104,0.157735798,8479
105,0.158211587,7949
106,0.158687931,7569
107,0.15916483,6968
108,0.159642283,6417
109,0.160120292,6002
110,0.160598856,5485
111,0.161077975,5077
112,0.161557649,4599
113,0.162037877,4198
114,0.162518661,3876
115,0.163,3590
116,0.163481894,3183
117,0.163964343,2996
118,0.164447346,2704
119,0.164930905,2412
120,0.165415019,2251
121,0.165899688,1967
122,0.166384912,1850
123,0.16687069,1613
124,0.167357024,1450
125,0.167843913,1271
126,0.168331357,1210
127,0.168819355,1035
