Channel,Energy,Counts
0,0.11128406,0
1,0.111702129,0
2,0.112120753,2
3,0.112539931,1
4,0.112959665,0
5,0.113379954,1
6,0.113800798,3
7,0.114222197,8
8,0.114644151,15
9,0.11506666,31
10,0.115489723,87
11,0.115913342,255
12,0.116337516,969
13,0.116762245,1118
14,0.117187529,624
15,0.117613368,1163
16,0.118039762,4919
17,0.11846671,14040
18,0.118894214,16758
19,0.119322273,18848
20,0.119750887,21076
21,0.120180056,23770
22,0.12060978,27261
23,0.121040059,30578
24,0.121470892,34238
25,0.121902281,38628
26,0.122334225,43389
27,0.122766724,48271
28,0.123199778,53843
29,0.123633387,59696
30,0.12406755,64302
31,0.124502269,69271
32,0.124937543,72752
33,0.125373372,76109
34,0.125809756,77942
35,0.126246695,81022
36,0.126684188,81910
37,0.127122237,83899
38,0.127560841,83742
39,0.128,84261
40,0.128439714,83189
41,0.128879983,82576
42,0.129320807,80852
43,0.129762185,79474
44,0.130204119,78040
45,0.130646608,75870
46,0.131089652,73310
47,0.131533251,70192
48,0.131977405,67567
49,0.132422113,64715
50,0.132867377,61086
51,0.133313196,58414
52,0.13375957,55053
53,0.134206499,52274
54,0.134653982,49250
55,0.135102021,46287
56,0.135550615,43624
57,0.135999764,41033
58,0.136449468,38574
59,0.136899727,36191
60,0.13735054,33998
61,0.137801909,32124
62,0.138253833,29972
63,0.138706312,28105
64,0.139159346,26887
65,0.139612935,25347
66,0.140067078,24228
67,0.140521777,23420
68,0.140977031,22634
69,0.14143284,21687
70,0.141889204,21053
71,0.142346123,20392
72,0.142803596,19728
73,0.143261625,19801
74,0.143720209,19542
75,0.144179348,19129
76,0.144639042,18947
77,0.14509929,19218
78,0.145560094,18779
79,0.146021453,18969
80,0.146483367,18775
81,0.146945836,18767
82,0.147408859,18698
83,0.147872438,19144
84,0.148336572,18963
85,0.148801261,19000
86,0.149266505,19233
87,0.149732304,19352
88,0.150198657,19449
89,0.150665566,19611
90,0.15113303,19706
91,0.151601049,19803
92,0.152069623,19678
93,0.152538751,19991
94,0.153008435,20062
95,0.153478674,20221
96,0.153949468,20555
97,0.154420817,20933
98,0.15489272,21083
99,0.155365179,20997
100,0.155838193,21314
101,0.156311762,21413
102,0.156785886,21502
103,0.157260564,21929
104,0.157735798,22014
105,0.158211587,22053
106,0.158687931,22390
107,0.15916483,22553
108,0.159642283,22554
109,0.160120292,22812
110,0.160598856,22933
111,0.161077975,22882
112,0.161557649,23168
113,0.162037877,23199
114,0.162518661,23236
115,0.163,23202
116,0.163481894,23006
117,0.163964343,23162
118,0.164447346,23264
119,0.164930905,22999
120,0.165415019,23107
121,0.165899688,22896
122,0.166384912,22820
123,0.16687069,22840
124,0.167357024,22555
125,0.167843913,22571
126,0.168331357,21735
