Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		47
18		143
19		170
20		198
21		217
22		216
23		234
24		239
25		243
26		226
27		228
28		221
29		232
30		235
31		210
32		207
33		209
34		192
35		197
36		169
37		184
38		179
39		168
40		196
41		182
42		182
43		196
44		168
45		171
46		188
47		179
48		154
49		154
50		151
51		148
52		135
53		114
54		113
55		103
56		127
57		120
58		107
59		103
60		105
61		103
62		111
63		80
64		107
65		104
66		88
67		74
68		80
69		74
70		81
71		93
72		70
73		67
74		86
75		85
76		62
77		84
78		78
79		74
80		63
81		66
82		61
83		50
84		63
85		64
86		59
87		59
88		57
89		54
90		58
91		75
92		59
93		53
94		54
95		54
96		45
97		53
98		51
99		58
100		53
101		40
102		56
103		60
104		53
105		45
106		54
107		58
108		55
109		47
110		49
111		35
112		62
113		48
114		43
115		41
116		37
117		40
118		49
119		55
120		51
121		65
122		44
123		53
124		41
125		47
126		56
127		44
128		66
129		57
130		53
131		53
132		53
133		41
134		50
135		40
136		46
137		36
138		51
139		55
140		49
141		50
142		57
143		50
144		56
145		47
146		39
147		51
148		51
149		45
150		57
151		53
152		38
153		48
154		58
155		55
156		60
157		57
158		67
159		50
160		56
161		69
162		56
163		46
164		50
165		53
166		58
167		48
168		74
169		54
170		74
171		54
172		56
173		44
174		60
175		72
176		66
177		51
178		44
179		44
180		52
181		53
182		58
183		44
184		53
185		57
186		72
187		57
188		48
189		44
190		56
191		41
192		53
193		45
194		46
195		48
196		49
197		45
198		41
199		47
200		45
201		45
202		52
203		38
204		31
205		44
206		37
207		37
208		39
209		36
210		26
211		31
212		37
213		37
214		33
215		30
216		38
217		35
218		49
219		39
220		49
221		32
222		40
223		40
224		38
225		47
226		54
227		32
228		42
229		44
230		46
231		71
232		68
233		60
234		63
235		63
236		70
237		69
238		53
239		58
240		62
241		60
242		81
243		65
244		56
245		52
246		51
247		53
248		38
249		30
250		35
251		33
252		27
253		30
254		38
255		26
256		14
257		30
258		24
259		30
260		27
261		26
262		31
263		49
264		42
265		28
266		45
267		35
268		37
269		40
270		38
271		41
272		58
273		46
274		46
275		45
276		65
277		40
278		37
279		32
280		29
281		36
282		27
283		28
284		23
285		18
286		14
287		4
288		12
289		14
290		11
291		6
292		4
293		3
294		7
295		6
296		4
297		4
298		5
299		3
300		0
301		1
302		2
303		2
304		3
305		3
306		2
307		1
308		1
309		0
310		1
311		2
312		3
313		1
314		1
315		0
316		2
317		1
318		1
319		1
320		0
321		3
322		0
323		2
324		2
325		0
326		0
327		1
328		2
329		0
330		0
331		0
332		1
333		0
334		0
335		0
336		0
337		0
338		1
339		1
340		2
341		0
342		0
343		0
344		0
345		0
346		1
347		0
348		0
349		1
350		0
351		0
352		0
353		1
354		0
355		0
356		1
357		0
358		0
359		0
360		1
361		0
362		0
363		0
364		0
365		0
366		0
367		0
368		0
369		0
370		0
371		0
372		0
373		0
374		1
375		0
376		0
377		0
378		0
379		1
380		1
381		0
382		1
383		0
384		1
385		0
386		0
387		0
388		0
389		1
390		2
391		0
392		0
393		1
394		0
395		0
396		0
397		0
398		0
399		0
400		0
401		0
402		0
403		1
404		0
405		0
406		0
407		0
408		0
409		0
410		1
411		0
412		0
413		0
414		0
415		0
416		0
417		0
418		0
419		0
420		0
421		0
422		0
423		0
424		0
425		1
426		0
427		0
428		0
429		0
430		1
431		0
432		0
433		0
434		0
435		0
436		0
437		0
438		0
439		0
440		0
441		1
442		0
443		1
444		0
445		0
446		1
447		0
448		1
449		0
450		0
451		0
452		0
453		0
454		0
455		0
456		0
457		0
458		0
459		1
460		0
461		0
462		2
463		0
464		0
465		0
466		0
467		0
468		0
469		0
470		1
471		0
472		0
473		1
474		0
475		1
476		0
477		0
478		0
479		0
480		0
481		0
482		0
483		0
484		0
485		0
486		0
487		0
488		0
489		0
490		0
491		0
492		0
493		0
494		0
495		0
496		0
497		0
498		0
499		0
500		0
501		0
502		0
503		0
504		0
505		0
506		0
507		1
508		0
509		0
510		1
511		0
512		0
513		0
514		1
515		0
516		1
517		0
518		0
519		0
520		0
521		0
522		0
523		0
524		0
525		0
526		0
527		0
528		1
529		1
530		0
