Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		2
11		0
12		7
13		6
14		5
15		12
16		43
17		194
18		213
19		191
20		213
21		282
22		260
23		270
24		229
25		271
26		224
27		276
28		250
29		236
30		248
31		260
32		231
33		229
34		228
35		266
36		237
37		253
38		221
39		232
40		188
41		197
42		184
43		193
44		170
45		139
46		146
47		133
48		133
49		121
50		125
51		114
52		116
53		111
54		117
55		87
56		87
57		93
58		85
59		89
60		79
61		71
62		71
63		75
64		78
65		83
66		65
67		82
68		65
69		66
70		65
71		64
72		63
73		69
74		65
75		79
76		66
77		67
78		51
79		70
80		56
81		68
82		49
83		54
84		61
85		60
86		55
87		45
88		45
89		58
90		55
91		66
92		57
93		58
94		52
95		66
96		51
97		48
98		57
99		56
100		49
101		59
102		56
103		48
104		52
105		42
106		51
107		50
108		50
109		51
110		52
111		52
112		50
113		59
114		56
115		52
116		50
117		47
118		53
119		49
120		43
121		58
122		51
123		58
124		61
125		59
126		60
127		58
128		45
129		58
130		48
131		66
132		58
133		78
134		70
135		55
136		52
137		69
138		70
139		73
140		54
141		73
142		62
143		60
144		65
145		72
146		68
147		70
148		53
149		61
150		54
151		62
152		53
153		47
154		45
155		54
156		51
157		36
158		39
159		50
160		41
161		33
162		39
163		30
164		19
165		31
166		28
167		37
168		34
169		18
170		25
171		30
172		25
173		21
174		20
175		32
176		18
177		28
178		16
179		22
180		26
181		21
182		31
183		23
184		21
185		14
186		21
187		23
188		17
189		23
190		22
191		17
192		20
193		24
194		27
195		16
196		18
197		17
198		24
199		29
200		18
201		15
202		23
203		23
204		31
205		13
206		18
207		25
208		26
209		22
210		19
211		21
212		21
213		30
214		38
215		33
216		30
217		26
218		28
219		37
220		22
221		37
222		30
223		23
224		41
225		23
226		28
227		20
228		23
229		26
230		26
231		18
232		23
233		21
234		20
235		24
236		4
237		20
238		13
239		12
240		15
241		11
242		10
243		5
244		10
245		12
246		6
247		12
248		10
249		12
250		13
251		7
252		9
253		13
254		15
255		12
256		13
257		13
258		15
259		15
260		22
261		13
262		12
263		19
264		15
265		15
266		17
267		19
268		17
269		25
270		19
271		32
272		25
273		17
274		27
275		13
276		23
277		13
278		19
279		15
280		21
281		22
282		16
283		17
284		14
285		16
286		15
287		17
288		13
289		10
290		7
291		11
292		10
293		7
294		6
295		4
296		3
297		7
298		8
299		4
300		1
301		6
302		4
303		2
304		4
305		2
306		3
307		3
308		5
309		3
310		2
311		2
312		2
313		0
314		1
315		0
316		0
317		0
318		0
319		0
320		2
321		1
322		0
323		0
324		1
325		1
326		0
327		0
328		2
329		1
330		3
331		0
332		1
333		2
334		0
335		1
336		0
337		1
338		0
339		3
340		0
341		1
342		0
343		0
344		1
345		0
346		0
347		0
348		0
349		0
350		0
351		1
352		0
353		0
354		0
355		0
356		0
357		1
358		1
359		0
360		1
361		1
362		0
363		0
364		0
365		0
366		0
367		0
368		1
369		0
370		0
371		0
372		0
373		1
374		1
375		0
376		0
377		0
378		1
379		0
380		1
381		1
382		0
383		0
384		0
385		0
386		0
387		0
388		1
389		1
390		0
391		0
392		0
393		0
394		1
395		0
396		0
397		1
398		0
399		1
400		0
401		1
402		1
403		0
404		0
405		1
406		0
407		0
408		0
409		0
410		1
411		0
412		1
413		0
414		0
415		0
416		0
417		0
418		0
419		0
420		1
421		0
422		0
423		0
424		1
425		0
426		0
427		0
428		1
429		0
430		0
431		0
432		1
433		0
434		0
435		0
436		0
437		0
438		0
439		0
440		0
441		0
442		0
443		0
444		0
445		0
446		0
447		0
448		0
449		0
450		0
451		1
452		2
453		0
454		0
455		1
456		0
457		0
458		0
459		1
460		1
461		0
462		0
463		0
464		0
465		1
466		0
467		0
468		0
469		0
470		0
471		0
472		0
473		0
474		0
475		0
476		0
477		0
478		0
479		0
480		0
481		0
482		1
483		0
484		0
485		0
486		0
487		0
488		0
489		0
490		0
491		0
492		0
493		1
494		0
495		0
496		1
497		1
498		0
499		0
500		0
501		0
502		0
503		2
504		0
505		0
506		0
507		0
508		0
509		0
510		0
511		0
512		0
513		0
514		0
515		0
516		0
517		0
518		0
519		0
520		0
521		0
522		1
523		0
524		0
525		0
526		0
527		0
528		0
529		0
530		1
