Spectrum Name:						
Description:						
Student ID:						
Detector Used:						
Comments:						
Acquisition Mode:	PHA Direct In					
High Voltage:	0					
Conversion Gain:	1024					
Coarse Gain:	4					
Fine Gain:	1.45					
Upper Discriminator:	1					
Lower Discriminator:	0					
Calibration Coefficients:	0.098675676	0.001432432				
Calibration Channels:	750	861				
Calibration Energies:	1.173	1.332				
Elapsed Real Time:	386.24					
Elapsed Live Time:	300					
Start Time:	"noviembre 14, 2024, 05:01:11"					
End Time:	"noviembre 14, 2024, 05:07:37"					
ROIs:						
ROI:	Low	High	Gross	Net	FWHM	Centroid
						
1	431	663	31021	-20939	3	0
2	196	244	2228493	319941	27	0
3	34	58	1260246	188138	16	0
						
Channel Data:						
Channel	Energy	Counts				
0	0.098675676	0				
1	0.100108108	0				
2	0.101540541	0				
3	0.102972973	0				
4	0.104405405	2				
5	0.105837838	0				
6	0.10727027	2				
7	0.108702703	14				
8	0.110135135	56				
9	0.111567568	110				
10	0.113	652				
11	0.114432432	784				
12	0.115864865	490				
13	0.117297297	477				
14	0.11872973	614				
15	0.120162162	1150				
16	0.121594595	22216				
17	0.123027027	101037				
18	0.124459459	104511				
19	0.125891892	100492				
20	0.127324324	95462				
21	0.128756757	89253				
22	0.130189189	81614				
23	0.131621622	73578				
24	0.133054054	67322				
25	0.134486486	61183				
26	0.135918919	56406				
27	0.137351351	52746				
28	0.138783784	50979				
29	0.140216216	49597				
30	0.141648649	49108				
31	0.143081081	48239				
32	0.144513514	48343				
33	0.145945946	48714				
34	0.147378378	49306				
35	0.148810811	50209				
36	0.150243243	49898				
37	0.151675676	51387				
38	0.153108108	51901				
39	0.154540541	52266				
40	0.155972973	52956				
41	0.157405405	53835				
42	0.158837838	55061				
43	0.16027027	55806				
44	0.161702703	56425				
45	0.163135135	56500				
46	0.164567568	55996				
47	0.166	55546				
48	0.167432432	55066				
49	0.168864865	54425				
50	0.170297297	52795				
51	0.17172973	51297				
52	0.173162162	49251				
53	0.174594595	47475				
54	0.176027027	44970				
55	0.177459459	42400				
56	0.178891892	40574				
57	0.180324324	38511				
58	0.181756757	36390				
59	0.183189189	34184				
60	0.184621622	32407				
61	0.186054054	31110				
62	0.187486486	29152				
63	0.188918919	27648				
64	0.190351351	26207				
65	0.191783784	25019				
66	0.193216216	23793				
67	0.194648649	22479				
68	0.196081081	21203				
69	0.197513514	20354				
70	0.198945946	18992				
71	0.200378378	18069				
72	0.201810811	17187				
73	0.203243243	16011				
74	0.204675676	14956				
75	0.206108108	14118				
76	0.207540541	13262				
77	0.208972973	12434				
78	0.210405405	11703				
79	0.211837838	11095				
80	0.21327027	10501				
81	0.214702703	9647				
82	0.216135135	9122				
83	0.217567568	8619				
84	0.219	8285				
85	0.220432432	7928				
86	0.221864865	7541				
87	0.223297297	7167				
88	0.22472973	6934				
89	0.226162162	6945				
90	0.227594595	6767				
91	0.229027027	6641				
92	0.230459459	6466				
93	0.231891892	6253				
94	0.233324324	6215				
95	0.234756757	6132				
96	0.236189189	6076				
97	0.237621622	6060				
98	0.239054054	5921				
99	0.240486486	5720				
100	0.241918919	5752				
101	0.243351351	5602				
102	0.244783784	5648				
103	0.246216216	5697				
104	0.247648649	5470				
105	0.249081081	5447				
106	0.250513514	5481				
107	0.251945946	5558				
108	0.253378378	5360				
109	0.254810811	5374				
110	0.256243243	5271				
111	0.257675676	5343				
112	0.259108108	5402				
113	0.260540541	5245				
114	0.261972973	5004				
115	0.263405405	5170				
116	0.264837838	5002				
117	0.26627027	5055				
118	0.267702703	5077				
119	0.269135135	4983				
120	0.270567568	4965				
121	0.272	5042				
122	0.273432432	4855				
123	0.274864865	4947				
124	0.276297297	4958				
125	0.27772973	4997				
126	0.279162162	4926				
127	0.280594595	4985				
128	0.282027027	4965				
129	0.283459459	5073				
130	0.284891892	5075				
131	0.286324324	5005				
132	0.287756757	4971				
133	0.289189189	4905				
134	0.290621622	5035				
135	0.292054054	4969				
136	0.293486486	4946				
137	0.294918919	5119				
138	0.296351351	5149				
139	0.297783784	5164				
140	0.299216216	5242				
141	0.300648649	5448				
142	0.302081081	5264				
143	0.303513514	5352				
144	0.304945946	5440				
145	0.306378378	5706				
146	0.307810811	5681				
147	0.309243243	5593				
148	0.310675676	5850				
149	0.312108108	5987				
150	0.313540541	6126				
151	0.314972973	6260				
152	0.316405405	6530				
153	0.317837838	6811				
154	0.31927027	6826				
155	0.320702703	7018				
156	0.322135135	7282				
157	0.323567568	7487				
158	0.325	7867				
159	0.326432432	8069				
160	0.327864865	8481				
161	0.329297297	8772				
162	0.33072973	9151				
163	0.332162162	9619				
164	0.333594595	10011				
165	0.335027027	10427				
166	0.336459459	10968				
167	0.337891892	11338				
168	0.339324324	11705				
169	0.340756757	12439				
170	0.342189189	13123				
171	0.343621622	13499				
172	0.345054054	13881				
173	0.346486486	14595				
174	0.347918919	15132				
175	0.349351351	15681				
176	0.350783784	16200				
177	0.352216216	16869				
178	0.353648649	17515				
179	0.355081081	17928				
180	0.356513514	18706				
181	0.357945946	18860				
182	0.359378378	19456				
183	0.360810811	19994				
184	0.362243243	20756				
185	0.363675676	21375				
186	0.365108108	21836				
187	0.366540541	22484				
188	0.367972973	23146				
189	0.369405405	23796				
190	0.370837838	24355				
191	0.37227027	24729				
192	0.373702703	25553				
193	0.375135135	26336				
194	0.376567568	26973				
195	0.378	27752				
196	0.379432432	28127				
197	0.380864865	29236				
198	0.382297297	29845				
199	0.38372973	30049				
200	0.385162162	31107				
201	0.386594595	32189				
202	0.388027027	33203				
203	0.389459459	33578				
204	0.390891892	34129				
205	0.392324324	35651				
206	0.393756757	36084				
207	0.395189189	36786				
208	0.396621622	38288				
209	0.398054054	38954				
210	0.399486486	40498				
211	0.400918919	40867				
212	0.402351351	42314				
213	0.403783784	42440				
214	0.405216216	44105				
215	0.406648649	45103				
216	0.408081081	45597				
217	0.409513514	46837				
218	0.410945946	47737				
219	0.412378378	48567				
220	0.413810811	49488				
221	0.415243243	50377				
222	0.416675676	50575				
223	0.418108108	51248				
224	0.419540541	52070				
225	0.420972973	52909				
226	0.422405405	53188				
227	0.423837838	53859				
228	0.42527027	54066				
229	0.426702703	54553				
230	0.428135135	54242				
231	0.429567568	54309				
232	0.431	54636				
233	0.432432432	54439				
234	0.433864865	54889				
235	0.435297297	54211				
236	0.43672973	53615				
237	0.438162162	53549				
238	0.439594595	52998				
239	0.441027027	52414				
240	0.442459459	53012				
241	0.443891892	51672				
242	0.445324324	50791				
243	0.446756757	50497				
244	0.448189189	49595				
245	0.449621622	48498				
246	0.451054054	47533				
247	0.452486486	46470				
248	0.453918919	45653				
249	0.455351351	44834				
250	0.456783784	43704				
251	0.458216216	42624				
252	0.459648649	41354				
253	0.461081081	40486				
254	0.462513514	39533				
255	0.463945946	38658				
256	0.465378378	37349				
257	0.466810811	36325				
258	0.468243243	35391				
259	0.469675676	34427				
260	0.471108108	33101				
261	0.472540541	32541				
262	0.473972973	31559				
263	0.475405405	30381				
264	0.476837838	29076				
265	0.47827027	28613				
266	0.479702703	27547				
267	0.481135135	26924				
268	0.482567568	25676				
269	0.484	24761				
270	0.485432432	23936				
271	0.486864865	23273				
272	0.488297297	22693				
273	0.48972973	21581				
274	0.491162162	20972				
275	0.492594595	20147				
276	0.494027027	19511				
277	0.495459459	18797				
278	0.496891892	18085				
279	0.498324324	17882				
280	0.499756757	17269				
281	0.501189189	16290				
282	0.502621622	15706				
283	0.504054054	15417				
284	0.505486486	14740				
285	0.506918919	14212				
286	0.508351351	13754				
287	0.509783784	13332				
288	0.511216216	12710				
289	0.512648649	12221				
290	0.514081081	11889				
291	0.515513514	11398				
292	0.516945946	10922				
293	0.518378378	10348				
294	0.519810811	9833				
295	0.521243243	9534				
296	0.522675676	9120				
297	0.524108108	8881				
298	0.525540541	8342				
299	0.526972973	7996				
300	0.528405405	7733				
301	0.529837838	7287				
302	0.53127027	6950				
303	0.532702703	6555				
304	0.534135135	6371				
305	0.535567568	5929				
306	0.537	5524				
307	0.538432432	5352				
308	0.539864865	5181				
309	0.541297297	4916				
310	0.54272973	4526				
311	0.544162162	4456				
312	0.545594595	4113				
313	0.547027027	3849				
314	0.548459459	3691				
315	0.549891892	3486				
316	0.551324324	3386				
317	0.552756757	3001				
318	0.554189189	2950				
319	0.555621622	2868				
320	0.557054054	2647				
321	0.558486486	2389				
322	0.559918919	2266				
323	0.561351351	2199				
324	0.562783784	2008				
325	0.564216216	1882				
326	0.565648649	1748				
327	0.567081081	1729				
328	0.568513514	1636				
