Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.45
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.73
Elapsed Live Time:	300.0
Start Time:	noviembre 05, 2024, 04:28:19
End Time:	noviembre 05, 2024, 04:33:19
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		8
17		138
18		209
19		203
20		194
21		201
22		211
23		226
24		254
25		259
26		236
27		276
28		257
29		246
30		273
31		251
32		225
33		215
34		246
35		234
36		228
37		249
38		224
39		242
40		238
41		235
42		213
43		220
44		229
45		227
46		211
47		218
48		209
49		173
50		182
51		193
52		166
53		183
54		177
55		180
56		153
57		150
58		155
59		156
60		141
61		134
62		140
63		127
64		154
65		129
66		140
67		147
68		118
69		127
70		140
71		113
72		111
73		111
74		103
75		126
76		91
77		94
78		104
79		91
80		98
81		90
82		80
83		99
84		92
85		104
86		76
87		80
88		67
89		65
90		83
91		81
92		71
93		92
94		60
95		87
96		91
97		68
98		84
99		76
100		96
101		83
102		65
103		64
104		70
105		77
106		73
107		74
108		78
109		72
110		59
111		66
112		72
113		65
114		76
115		80
116		75
117		66
118		83
119		71
120		56
121		63
122		93
123		62
124		57
125		60
126		67
127		59
128		68
129		62
130		55
131		78
132		63
133		50
134		69
135		66
136		55
137		62
138		73
139		59
140		51
141		67
142		64
143		55
144		52
145		69
146		63
147		66
148		63
149		60
150		48
151		61
152		53
153		56
154		71
155		63
156		71
157		70
158		61
159		58
160		55
161		73
162		65
163		80
164		56
165		59
166		51
167		66
168		68
169		67
170		53
171		68
172		48
173		52
174		58
175		67
176		46
177		70
178		60
179		61
180		56
181		58
182		66
183		48
184		54
185		58
186		50
187		52
188		47
189		57
190		56
191		46
192		49
193		48
194		37
195		39
196		39
197		41
198		50
199		38
200		47
201		46
202		39
203		37
204		37
205		46
206		53
207		37
208		45
209		38
210		33
211		40
212		49
213		33
214		66
215		58
216		59
217		61
218		69
219		70
220		64
221		77
222		88
223		109
224		104
225		119
226		126
227		135
228		137
229		146
230		167
231		186
232		155
233		163
234		207
235		222
236		197
237		197
238		202
239		210
240		195
241		192
242		185
243		195
244		187
245		186
246		170
247		148
248		152
249		141
250		128
251		131
252		123
253		137
254		128
255		111
256		120
257		124
258		117
259		134
260		123
261		134
262		138
263		138
264		168
265		139
266		153
267		149
268		169
269		160
270		169
271		142
272		173
273		157
274		181
275		136
276		137
277		137
278		132
279		136
280		125
281		117
282		125
283		114
284		101
285		112
286		78
287		86
288		65
289		73
290		50
291		44
292		43
293		42
294		35
295		24
296		23
297		25
298		23
299		27
300		17
301		19
302		15
303		16
304		9
305		9
306		8
307		9
308		7
309		4
310		3
311		10
312		2
313		3
314		5
315		5
316		6
317		1
318		2
319		2
320		4
321		1
322		2
323		3
324		1
325		1
326		2
327		1
328		2
329		3
330		0
331		1
332		1
333		1
334		1
335		1
336		1
337		1
338		6
339		2
340		0
341		0
342		1
343		1
344		0
345		4
346		0
347		0
348		1
349		2
350		1
351		2
352		2
353		1
354		2
355		2
356		0
357		2
358		3
359		1
360		1
361		1
362		0
363		0
364		0
365		1
366		6
367		0
368		1
369		0
370		1
371		0
372		2
373		1
374		2
375		0
376		1
377		1
378		2
379		0
380		1
381		1
382		0
383		0
384		0
385		0
386		0
387		0
388		0
389		1
390		1
391		1
392		0
393		0
394		0
395		0
396		0
397		0
398		1
399		1
400		0
401		0
402		2
403		0
404		1
405		3
406		1
407		1
408		1
409		0
410		1
411		0
412		1
413		0
414		0
415		2
416		1
417		0
418		0
419		2
420		0
421		2
422		2
423		0
424		0
425		0
426		1
427		0
428		1
429		0
430		0
431		1
432		1
433		2
434		1
435		0
436		1
437		0
438		0
439		1
440		0
441		0
442		1
443		1
444		1
445		1
446		1
447		1
448		0
449		1
450		0
451		0
452		1
453		1
454		0
455		3
456		1
457		1
458		1
459		1
460		0
461		1
462		1
463		0
464		1
465		0
466		0
467		0
468		1
469		0
