Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.45
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	302.89
Elapsed Live Time:	300.0
Start Time:	noviembre 05, 2024, 03:49:47
End Time:	noviembre 05, 2024, 03:54:50
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		1
17		340
18		891
19		879
20		1098
21		1137
22		1160
23		1184
24		1172
25		1205
26		1220
27		1246
28		1270
29		1283
30		1218
31		1274
32		1246
33		1170
34		1192
35		1199
36		1200
37		1211
38		1169
39		1246
40		1241
41		1308
42		1327
43		1362
44		1388
45		1362
46		1402
47		1385
48		1262
49		1230
50		1290
51		1254
52		1239
53		1121
54		1125
55		1078
56		1097
57		1142
58		1119
59		1088
60		1071
61		1048
62		1134
63		1025
64		1040
65		1068
66		1027
67		1015
68		991
69		987
70		971
71		950
72		959
73		967
74		945
75		960
76		963
77		959
78		968
79		884
80		922
81		974
82		937
83		969
84		891
85		937
86		882
87		912
88		914
89		894
90		925
91		890
92		889
93		919
94		891
95		880
96		889
97		915
98		946
99		909
100		960
101		959
102		913
103		915
104		918
105		907
106		900
107		883
108		912
109		908
110		876
111		925
112		922
113		890
114		871
115		946
116		887
117		881
118		895
119		895
120		877
121		925
122		935
123		876
124		922
125		914
126		930
127		871
128		993
129		859
130		925
131		933
132		910
133		938
134		952
135		913
136		921
137		939
138		912
139		1029
140		928
141		976
142		944
143		1017
144		947
145		936
146		871
147		911
148		974
149		995
150		969
151		1001
152		1010
153		963
154		1036
155		952
156		980
157		1011
158		960
159		989
160		1052
161		982
162		1056
163		986
164		1066
165		1105
166		1089
167		1007
168		1088
169		1078
170		1056
171		1110
172		1014
173		1114
174		1156
175		1189
176		1087
177		1055
178		1029
179		1024
180		1114
181		1159
182		1194
183		1096
184		1126
185		1119
186		1095
187		1151
188		1093
189		1109
190		1046
191		977
192		1008
193		975
194		922
195		889
196		886
197		854
198		853
199		836
200		818
201		791
202		742
203		752
204		708
205		716
206		771
207		741
208		735
209		728
210		712
211		661
212		654
213		669
214		722
215		702
216		666
217		659
218		708
219		667
220		696
221		699
222		684
223		764
224		788
225		770
226		834
227		846
228		933
229		942
230		988
231		1030
232		1072
233		1108
234		1147
235		1252
236		1291
237		1337
238		1271
239		1410
240		1394
241		1310
242		1341
243		1249
244		1233
245		1167
246		1100
247		1004
248		971
249		939
250		826
251		739
252		696
253		665
254		645
255		585
256		496
257		570
258		551
259		533
260		575
261		586
262		632
263		656
264		695
265		722
266		751
267		795
268		895
269		863
270		880
271		920
272		938
273		992
274		954
275		966
276		921
277		899
278		912
279		763
280		772
281		732
282		652
283		591
284		537
285		496
286		438
287		369
288		334
289		284
290		257
291		239
292		194
293		185
294		155
295		117
296		98
297		109
298		87
299		75
300		67
301		74
302		56
303		61
304		57
305		59
306		47
307		46
308		57
309		55
310		29
311		38
312		51
313		47
314		53
315		38
316		47
317		41
318		51
319		44
320		56
321		39
322		46
323		34
324		35
325		33
326		47
327		40
328		38
329		41
330		52
331		31
332		46
333		40
334		36
335		35
336		33
337		40
338		38
339		44
340		45
341		36
342		35
343		37
344		33
345		43
346		38
347		35
348		32
349		33
350		40
351		37
352		44
353		35
354		24
355		29
356		35
357		31
358		42
359		36
360		44
361		38
362		35
363		38
364		27
365		38
366		29
367		38
368		33
369		30
370		31
371		36
372		43
373		38
374		32
375		36
376		33
377		38
378		37
379		32
380		34
381		31
382		31
383		30
384		33
385		37
386		34
387		28
388		27
389		37
390		29
391		35
392		32
393		23
394		31
395		30
396		34
397		42
398		26
399		27
400		38
401		34
402		30
403		28
404		22
405		27
406		28
407		28
408		19
409		23
410		19
411		33
412		27
413		25
414		26
415		21
416		25
417		26
418		25
419		21
420		32
421		30
422		28
423		27
424		24
425		27
426		32
427		29
428		28
429		33
430		16
431		33
432		36
433		21
434		21
435		30
436		20
437		27
438		18
439		26
440		26
441		23
442		26
443		20
