Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.45
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	301.63
Elapsed Live Time:	300.0
Start Time:	noviembre 05, 2024, 03:17:56
End Time:	noviembre 05, 2024, 03:22:58
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		28
17		797
18		871
19		871
20		860
21		980
22		995
23		943
24		990
25		949
26		993
27		1021
28		997
29		1037
30		1111
31		1079
32		1098
33		1186
34		1180
35		1262
36		1332
37		1308
38		1211
39		1200
40		1176
41		1121
42		1045
43		1007
44		1036
45		1003
46		1001
47		944
48		960
49		944
50		878
51		934
52		902
53		830
54		886
55		804
56		757
57		794
58		775
59		840
60		788
61		789
62		756
63		745
64		758
65		722
66		733
67		743
68		779
69		702
70		767
71		732
72		746
73		686
74		690
75		741
76		698
77		722
78		697
79		704
80		676
81		695
82		702
83		712
84		682
85		648
86		675
87		644
88		717
89		652
90		724
91		707
92		663
93		685
94		706
95		682
96		692
97		684
98		709
99		712
100		700
101		725
102		708
103		687
104		677
105		748
106		649
107		687
108		665
109		683
110		756
111		749
112		646
113		744
114		722
115		688
116		669
117		697
118		656
119		691
120		694
121		674
122		742
123		769
124		697
125		744
126		759
127		739
128		741
129		747
130		743
131		752
132		774
133		749
134		756
135		767
136		816
137		759
138		768
139		807
140		741
141		743
142		795
143		809
144		820
145		827
146		780
147		831
148		852
149		775
150		778
151		768
152		786
153		674
154		651
155		721
156		656
157		582
158		585
159		537
160		545
161		489
162		491
163		463
164		416
165		401
166		384
167		366
168		369
169		354
170		376
171		332
172		349
173		344
174		333
175		297
176		311
177		288
178		314
179		300
180		297
181		287
182		251
183		284
184		295
185		283
186		305
187		289
188		254
189		269
190		278
191		269
192		297
193		264
194		267
195		275
196		260
197		282
198		295
199		262
200		279
201		296
202		285
203		315
204		273
205		335
206		329
207		377
208		382
209		398
210		348
211		376
212		419
213		419
214		467
215		459
216		405
217		472
218		440
219		416
220		467
221		463
222		461
223		457
224		453
225		413
226		399
227		344
228		365
229		341
230		340
231		297
232		290
233		279
234		279
235		242
236		238
237		200
238		188
239		172
240		169
241		166
242		117
243		135
244		121
245		105
246		114
247		126
248		122
249		113
250		123
251		133
252		139
253		142
254		165
255		171
256		159
257		174
258		225
259		174
260		269
261		227
262		225
263		246
264		270
265		248
266		284
267		273
268		303
269		288
270		299
271		279
272		291
273		330
274		305
275		315
276		286
277		269
278		272
279		246
280		241
281		233
282		229
283		221
284		174
285		177
286		168
287		165
288		156
289		164
290		125
291		143
292		105
293		97
294		87
295		81
296		73
297		57
298		56
299		62
300		66
301		42
302		30
303		48
304		25
305		32
306		29
307		24
308		23
309		15
310		20
311		14
312		13
313		24
314		19
315		15
316		13
317		19
318		15
319		16
320		13
321		13
322		8
323		22
324		8
325		8
326		8
327		10
328		17
329		11
330		15
331		13
332		13
333		12
334		13
335		8
336		9
337		13
338		10
339		6
340		6
341		11
342		14
343		8
344		6
345		5
346		10
347		12
348		6
349		7
350		16
351		11
352		5
353		12
354		14
355		7
356		9
357		11
358		6
359		11
360		20
361		7
362		15
363		7
364		9
365		7
366		6
367		9
368		7
369		9
370		12
371		5
372		7
373		8
374		7
375		9
376		11
377		3
378		9
379		5
380		9
381		10
382		3
383		15
384		3
385		3
386		4
387		15
388		9
389		4
390		2
391		10
392		7
393		11
394		8
395		7
396		4
397		4
398		8
399		3
400		5
401		7
402		4
403		10
404		9
405		9
406		14
407		3
408		10
409		10
410		8
411		2
412		8
413		7
414		13
415		6
416		6
417		9
418		9
419		4
420		11
421		3
422		7
423		5
424		9
425		4
426		3
427		6
428		3
429		5
430		1
431		7
432		7
433		2
434		8
435		8
436		7
437		7
438		8
439		8
440		7
441		10
442		9
443		5
444		5
445		5
446		11
447		5
448		6
449		3
450		10
451		15
452		6
453		4
454		5
455		10
456		4
457		5
458		10
459		9
460		4
461		7
462		3
463		6
464		4
