Channel,Energy,Counts
0,0.098675676,0
1,0.100108108,0
2,0.101540541,0
3,0.102972973,0
4,0.104405405,0
5,0.105837838,0
6,0.10727027,0
7,0.108702703,0
8,0.110135135,1
9,0.111567568,0
10,0.113,3
11,0.114432432,3
12,0.115864865,2
13,0.117297297,1
14,0.11872973,1
15,0.120162162,6
16,0.121594595,307
17,0.123027027,7426
18,0.124459459,8094
19,0.125891892,7476
20,0.127324324,6768
21,0.128756757,5977
22,0.130189189,5187
23,0.131621622,4516
24,0.133054054,3558
25,0.134486486,3005
26,0.135918919,2442
27,0.137351351,2030
28,0.138783784,1776
29,0.140216216,1714
30,0.141648649,1547
31,0.143081081,1488
32,0.144513514,1664
33,0.145945946,1603
34,0.147378378,1754
35,0.148810811,1940
36,0.150243243,2096
37,0.151675676,2235
38,0.153108108,2618
39,0.154540541,2674
40,0.155972973,2895
41,0.157405405,3111
42,0.158837838,3183
43,0.16027027,3359
44,0.161702703,3489
45,0.163135135,3431
46,0.164567568,3465
47,0.166,3384
48,0.167432432,3290
49,0.168864865,3262
50,0.170297297,2988
51,0.17172973,2846
52,0.173162162,2583
53,0.174594595,2471
54,0.176027027,2214
55,0.177459459,2019
56,0.178891892,1835
57,0.180324324,1737
58,0.181756757,1466
59,0.183189189,1332
60,0.184621622,1162
61,0.186054054,948
62,0.187486486,873
63,0.188918919,779
64,0.190351351,693
65,0.191783784,652
66,0.193216216,554
67,0.194648649,516
68,0.196081081,465
69,0.197513514,474
70,0.198945946,421
71,0.200378378,419
72,0.201810811,427
73,0.203243243,452
74,0.204675676,402
75,0.206108108,427
76,0.207540541,416
77,0.208972973,405
78,0.210405405,407
79,0.211837838,440
80,0.21327027,423
81,0.214702703,429
82,0.216135135,488
83,0.217567568,439
84,0.219,476
85,0.220432432,473
86,0.221864865,447
87,0.223297297,514
88,0.22472973,536
89,0.226162162,496
90,0.227594595,574
91,0.229027027,511
92,0.230459459,527
93,0.231891892,537
94,0.233324324,547
95,0.234756757,516
96,0.236189189,513
97,0.237621622,556
98,0.239054054,549
99,0.240486486,560
100,0.241918919,537
101,0.243351351,487
102,0.244783784,510
103,0.246216216,509
104,0.247648649,476
105,0.249081081,474
106,0.250513514,497
107,0.251945946,489
108,0.253378378,487
109,0.254810811,498
110,0.256243243,467
111,0.257675676,436
112,0.259108108,448
113,0.260540541,418
114,0.261972973,420
