Channel,Energy,Counts
0,0.098675676,0
1,0.100108108,0
2,0.101540541,0
3,0.102972973,0
4,0.104405405,0
5,0.105837838,0
6,0.10727027,0
7,0.108702703,0
8,0.110135135,0
9,0.111567568,0
10,0.113,1
11,0.114432432,0
12,0.115864865,1
13,0.117297297,0
14,0.11872973,0
15,0.120162162,1
16,0.121594595,11
17,0.123027027,266
18,0.124459459,318
19,0.125891892,360
20,0.127324324,349
21,0.128756757,380
22,0.130189189,368
23,0.131621622,391
24,0.133054054,409
25,0.134486486,422
26,0.135918919,436
27,0.137351351,475
28,0.138783784,465
29,0.140216216,465
30,0.141648649,436
31,0.143081081,458
32,0.144513514,471
33,0.145945946,470
34,0.147378378,489
35,0.148810811,493
36,0.150243243,451
37,0.151675676,476
38,0.153108108,421
39,0.154540541,426
40,0.155972973,430
41,0.157405405,447
42,0.158837838,454
43,0.16027027,497
44,0.161702703,425
45,0.163135135,473
46,0.164567568,471
47,0.166,463
48,0.167432432,470
49,0.168864865,465
50,0.170297297,453
51,0.17172973,439
52,0.173162162,424
53,0.174594595,452
54,0.176027027,424
55,0.177459459,489
56,0.178891892,447
57,0.180324324,464
58,0.181756757,449
59,0.183189189,442
60,0.184621622,475
61,0.186054054,461
62,0.187486486,466
63,0.188918919,436
64,0.190351351,437
65,0.191783784,452
66,0.193216216,450
67,0.194648649,437
68,0.196081081,401
69,0.197513514,419
70,0.198945946,458
71,0.200378378,405
72,0.201810811,432
73,0.203243243,454
74,0.204675676,420
75,0.206108108,434
76,0.207540541,433
77,0.208972973,442
78,0.210405405,475
79,0.211837838,441
80,0.21327027,466
81,0.214702703,441
82,0.216135135,435
83,0.217567568,476
84,0.219,457
85,0.220432432,429
86,0.221864865,393
87,0.223297297,423
88,0.22472973,446
89,0.226162162,450
90,0.227594595,434
91,0.229027027,438
92,0.230459459,402
93,0.231891892,420
94,0.233324324,401
95,0.234756757,422
96,0.236189189,443
97,0.237621622,425
98,0.239054054,421
99,0.240486486,420
100,0.241918919,426
101,0.243351351,411
102,0.244783784,429
103,0.246216216,441
104,0.247648649,425
105,0.249081081,426
106,0.250513514,449
107,0.251945946,425
108,0.253378378,442
109,0.254810811,425
110,0.256243243,446
111,0.257675676,464
112,0.259108108,423
113,0.260540541,461
114,0.261972973,477
115,0.263405405,497
116,0.264837838,434
117,0.26627027,452
118,0.267702703,466
119,0.269135135,460
