Potencia,errpot,AT4,errat4
40.7,1.26508440776268,450071441.05,113498641.449473
23.38,0.784236094379907,417916517.2,109453324.412354
34.85,1.1588957172727,482227436.24,117404679.11903
24.9,0.80755150022336,450071441.05,113498641.449473
24.07,0.787192740497523,514384502.77,121184905.947132
25.21,0.817319475650893,450071441.05,113498641.449473
30.93,0.967296078677568,482227436.24,117404679.11903
25.75,0.817124033195084,514384502.77,121184905.947132
23.32,0.735541153894192,514384502.77,121184905.947132
27.77,0.891895994757377,514384502.77,121184905.947132
23.61,0.751479473376519,450071441.05,113498641.449473
