Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,1
11,,0
12,,0
13,,1
14,,2
15,,0
16,,10
17,,375
18,,475
19,,479
20,,541
21,,533
22,,513
23,,603
24,,584
25,,573
26,,583
27,,612
28,,670
29,,695
30,,652
31,,647
32,,622
33,,648
34,,632
35,,644
36,,713
37,,724
38,,635
39,,619
40,,664
41,,645
42,,576
43,,612
44,,604
45,,653
46,,616
47,,632
48,,628
49,,655
50,,608
51,,587
52,,648
53,,627
54,,640
55,,658
56,,597
57,,623
58,,595
59,,647
60,,589
61,,647
62,,655
63,,627
64,,595
65,,608
66,,608
67,,639
68,,616
69,,605
70,,629
71,,640
72,,616
73,,577
74,,609
75,,618
76,,604
77,,615
78,,674
79,,584
80,,609
81,,593
82,,616
83,,597
84,,666
85,,603
86,,673
87,,636
88,,700
89,,676
90,,693
91,,670
92,,711
93,,722
94,,715
95,,718
96,,724
97,,686
98,,722
99,,723
100,,721
101,,691
102,,702
103,,711
104,,744
105,,742
106,,711
107,,725
108,,661
109,,696
110,,725
111,,687
112,,656
113,,650
114,,665
115,,666
116,,611
117,,613
118,,671
119,,668
120,,654
121,,656
122,,643
123,,630
124,,622
125,,596
126,,594
127,,591
128,,619
129,,604
130,,587
131,,602
132,,618
133,,583
134,,585
135,,621
136,,618
137,,571
138,,633
139,,555
140,,621
141,,574
142,,574
143,,547
144,,586
145,,604
146,,591
147,,585
148,,588
149,,559
150,,569
151,,566
152,,575
153,,527
154,,543
155,,581
156,,583
157,,560
158,,572
159,,556
160,,553
161,,541
162,,572
163,,537
164,,530
165,,559
166,,540
167,,522
168,,551
169,,549
170,,538
171,,526
172,,549
173,,514
174,,522
175,,529
176,,566
177,,510
178,,503
179,,500
180,,525
181,,504
182,,516
183,,560
184,,562
185,,546
186,,476
187,,534
188,,508
189,,500
190,,560
191,,517
192,,505
193,,522
194,,497
195,,523
196,,543
197,,502
198,,509
199,,531
200,,491
201,,531
202,,490
203,,526
204,,523
205,,460
206,,504
207,,532
208,,506
209,,475
210,,491
211,,503
212,,504
213,,508
214,,524
215,,488
216,,517
217,,490
218,,500
219,,527
220,,489
221,,537
222,,486
223,,487
224,,506
225,,495
226,,485
227,,521
228,,491
229,,537
230,,516
231,,477
232,,482
233,,500
234,,485
235,,532
236,,541
237,,484
238,,505
239,,491
240,,490
241,,472
242,,477
243,,485
244,,468
245,,482
246,,433
247,,492
248,,452
249,,502
250,,482
251,,529
252,,450
253,,516
254,,489
255,,475
256,,471
257,,499
258,,469
259,,492
260,,480
261,,489
262,,526
263,,495
264,,505
265,,491
266,,449
267,,492
268,,464
269,,440
270,,491
271,,476
272,,455
273,,489
274,,478
275,,478
276,,492
277,,471
278,,488
279,,486
280,,496
281,,487
282,,466
283,,514
284,,454
285,,444
286,,457
287,,454
288,,491
289,,468
290,,491
291,,497
292,,503
293,,489
294,,483
295,,466
296,,469
297,,469
298,,489
299,,479
300,,460
301,,474
302,,446
303,,433
304,,476
305,,481
306,,433
307,,474
308,,431
309,,455
310,,464
311,,444
312,,448
313,,497
314,,466
315,,473
316,,479
317,,459
318,,474
319,,453
320,,443
321,,464
322,,457
323,,458
324,,436
325,,455
326,,490
327,,487
328,,465
329,,480
330,,519
331,,451
332,,466
333,,463
334,,458
335,,465
336,,437
337,,469
338,,502
339,,498
340,,459
341,,492
342,,464
343,,460
344,,450
345,,498
346,,472
347,,480
348,,471
349,,494
350,,476
351,,462
352,,451
353,,505
354,,469
355,,482
356,,495
357,,460
358,,477
359,,466
360,,451
361,,460
362,,443
363,,480
364,,503
365,,489
366,,455
367,,460
368,,478
369,,463
370,,454
371,,450
372,,463
373,,473
374,,458
375,,494
376,,451
377,,508
378,,508
379,,497
380,,474
381,,442
382,,478
383,,475
384,,519
385,,524
386,,469
387,,452
388,,467
389,,537
390,,474
391,,429
392,,530
393,,490
394,,439
395,,459
396,,503
397,,459
398,,444
399,,452
400,,458
401,,456
402,,462
403,,469
404,,477
405,,458
406,,443
407,,499
408,,480
409,,489
410,,487
411,,530
412,,468
413,,495
414,,452
415,,478
416,,466
417,,441
418,,455
419,,451
420,,466
421,,485
422,,464
423,,471
424,,447
