Voltaje,Rextprom1,deltaRextprom1,Rintprom1,deltaRintprom1,Rextprom2,deltaRextprom2,Rintprom2,deltaRintprom2,Rextprom3,deltaRextprom3,Rintprom3,deltaRintprom3
2.0,3.16530202765959,0.024375319,2.055967372,0.001040477,3.217661002,0.069749430,2.067238503,0.025019967,3.14168869466667,0.0164166537064885,2.026835692,0.0177848457080072
2.2,3.032844372,0.0279751737772466,1.886688241,0.0140203347161819,3.09186085,0.0270408913479379,1.857507648,0.018793959,3.05996874,0.0291029673781976,1.852837513,0.00909979377887349
2.4,2.84510110666667,0.0239608009527973,1.825873376,0.015150505,2.800382983,0.026737478449111,1.815952313,0.010627438,2.83342817433333,0.0775197076883491,1.822560222,0.0117185336903429
2.6,2.711127571,0.0131015768103532,1.688674618,0.037384659,2.76719667066667,0.0259501107327444,1.680904667,0.038483927,2.72899130666667,0.0330707371136443,1.711846706,0.0142586159349224
2.8,2.64733922733333,0.0210775196615789,1.598884476,0.010666161,2.66608866,0.0189087980148083,1.631881459,0.014805813,2.63911044166667,0.00183225361035053,1.60592553,0.00633661695315089
3.0,2.52833433,0.0196449070917363,1.544915321,0.022841021,2.549192811,0.056576250613393,1.584768749,0.008979514,2.558523055,0.064312967992577,1.572900988,0.0169093508822494
3.2,2.428395226,0.023624002,1.460336094,0.023714822,2.455473126,0.0730998099715521,1.491777463,0.040191874,2.464839554,0.0638314139613115,1.450659257,0.00301522752051093
3.4,2.361756667,0.011257656,1.396325256,0.016748890,2.392198555,0.0165039175948139,1.370350835,0.029250060,2.39323142566667,0.0724448357730111,1.365862497,0.00810908832371133
3.6,2.29188471166667,0.0145937050315452,1.335205703,0.020365256,2.334086916,0.0346720545831846,1.331768313,0.024131298,2.287517794,0.0178120254390949,1.311440896,0.00580464333794325
3.8,2.267704971,0.0214741643477638,1.267868840,0.023933692,2.249743513,0.0246167018295739,1.279957586,0.023613198,2.26097348,0.00229715165489919,1.26187931,0.0315907925911179
4.0,2.21381422766667,0.0352287609153424,1.218175154,0.024889511,2.22927335466667,0.0352172585919771,1.209633343,0.010019995,2.21183424933333,0.0130355983624913,1.228001751,0.00325926255140297
4.2,2.1,0.0336860582149041,1.199984570,0.013086052,2.158246485,0.0119286029541933,1.184486158,0.025638065,2.154526997,0.0418380615779129,1.178359856,0.0265655748596444
