currN1,IN1,°N1,BN1,,currN2,IN2,°N2,BN2,,currN3,IN3,°N3,BN3,,currN1M2,IN1M2,°N1M2,BN1M2,,currN2M2,IN2M2,°N2M2,BN2M2,,currN3M2,IN3M2,°N3M2,BN3M2
0,130,0,0.0006,,0,130,0,0.00087,,0,130,0,0.00084,,0,172,0,0.00074,,0,164,0,0.00052,,0,168,0,0.00058
0.5,132,0,0.00422,,0.5,127,1,0.00464,,0.5,128,0,0.00391,,0.5,166,0,0.00486,,0.5,162,1,0.00439,,0.5,170,0,0.00477
1,131,1,0.00784,,1,130,1,0.00835,,1,127,1,0.00803,,1,169,0,0.00818,,1,164,2,0.00782,,1,169,1,0.00801
1.5,133,2,0.01177,,1.5,127,2,0.01149,,1.5,128,2,0.01109,,1.5,168,1,0.01133,,1.5,164,2,0.01153,,1.5,165,1,0.01116
2,130,3,0.01498,,2,129,3,0.01512,,2,128,3,0.01451,,2,166,2,0.01464,,2,166,2,0.01482,,2,167,2,0.01447
2.5,131,3,0.01833,,2.5,128,3,0.01824,,2.5,126,3,0.01804,,2.5,169,2,0.01823,,2.5,164,3,0.01772,,2.5,168,3,0.01789
3,134,4,0.0218,,3,128,3,0.02145,,3,128,3,0.02136,,3,168,3,0.02128,,3,162,3,0.02136,,3,168,3,0.02125
3.5,133,4,0.02531,,3.5,127,4,0.0247,,3.5,130,4,0.0242,,3.5,166,3,0.02439,,3.5,165,4,0.02395,,3.5,165,4,0.02414
4,133,5,0.02867,,4,129,4,0.02824,,4,129,4,0.02718,,4,165,3,0.02752,,4,164,4,0.02728,,4,167,4,0.02733
4.5,135,5,0.0319,,4.5,130,5,0.0313,,4.5,129,5,0.0312,,4.5,165,4,0.0309,,4.5,167,4,0.0302,,4.5,169,4,0.0307
5,130,6,0.0352,,5,130,5,0.0346,,5,127,6,0.034,,5,167,5,0.0342,,5,166,5,0.0333,,5,167,5,0.0333
