V,λ_ext_series1,λ_ext_err_series1,λ_int_series1,λ_int_err_series1,d_ext_series1,d_ext_err_series1,d_int_series1,d_int_err_series1,λ_ext_series2,λ_ext_err_series2,λ_int_series2,λ_int_err_series2,d_ext_series2,d_ext_err_series2,d_int_series2,d_int_err_series2,λ_ext_series3,λ_ext_err_series3,λ_int_series3,λ_int_err_series3,d_ext_series3,d_ext_err_series3,d_int_series3,d_int_err_series3,λ_boglie,λ_boglie_err)
2000.0,1.497431343854344e-11,1.153140091153846e-13,1.684311731676923e-11,8.523907730769229e-15,2.2526023584141961e-10,5.8926206162980656e-12,3.4680350037185456e-10,8.671863748764534e-12,1.5222011663307688e-11,3.2996845730769226e-13,1.6935453889961538e-11,2.049712681153846e-13,2.2159471765880043e-10,7.332391146409294e-12,3.4491263597557077e-10,9.580160095074627e-12,1.4862604209384627e-11,7.766340022684942e-14,1.6604461630615386e-11,1.456989283002128e-13,2.269533205089161e-10,5.796447565102047e-12,3.517881020519954e-10,9.320692683666568e-12,2.7423718509997032e-11,6.855929627499258e-13
2200.0,1.434768683676923e-11,1.3234409133082044e-13,1.5456330589730768e-11,1.1485889594410556e-13,2.2415747321748337e-10,5.498087160679076e-12,3.6033230944877934e-10,8.616023072942614e-12,1.4626880175e-11,1.2792421676139855e-13,1.5217274193230768e-11,1.5396589488461536e-13,2.1987882510604743e-10,5.354482716379404e-12,3.6599296472419443e-10,9.105060142445734e-12,1.447600596230769e-11,1.3767942259685786e-13,1.5179015010346152e-11,7.454831057307897e-14,2.2217048239825655e-10,5.473631399830054e-12,3.6691546145816034e-10,8.531471282455032e-12,2.6147489657284044e-11,5.942611285746374e-13
2400.0,1.3459516773846168e-11,1.1335301989207953e-13,1.4958116503384614e-11,1.2411759865384616e-13,2.2877647434533726e-10,5.140878041590849e-12,3.564826613361046e-10,7.994112342140227e-12,1.3247965650346152e-11,1.2648884035540971e-13,1.4876840102653847e-11,8.706324207692307e-14,2.3242970846863556e-10,5.326587823305954e-12,3.5843022731358363e-10,7.756324180501906e-12,1.3404294824730753e-11,3.667278479102668e-13,1.4930974126384613e-11,9.6001833693963e-14,2.2971896949262346e-10,7.899599561137843e-12,3.5713069586526843e-10,7.786505324541596e-12,2.503431539766223e-11,5.215482374512964e-13
2600.0,1.2825718893576923e-11,6.198053644897859e-14,1.3834142062846154e-11,3.062666295e-13,2.3066306613083361e-10,4.573739352183728e-12,3.703241533524958e-10,1.085961918086461e-11,1.3090968865076937e-11,1.2276398538952157e-13,1.3770488233500001e-11,3.152721711923077e-13,2.2598935768740968e-10,4.835141982872516e-12,3.7203596996063274e-10,1.112376981825057e-11,1.29102281046154e-11,1.5645002557608648e-13,1.4023974937615383e-11,1.1681096900532581e-13,2.2915316610610332e-10,5.208766372318857e-12,3.6531133074406213e-10,7.655874454183526e-12,2.405219223841151e-11,4.625421584309905e-13
2800.0,1.2523950960076905e-11,9.971288147593092e-14,1.3098553591846152e-11,8.738047280769231e-14,2.2762820708332105e-10,4.450509344660717e-12,3.768934472156514e-10,7.184540313508584e-12,1.261265019923077e-11,8.94531598392854e-14,1.3368875029499996e-11,1.212937757307692e-13,2.2602739770073149e-10,4.342896257602521e-12,3.6927258321110105e-10,7.396467418834539e-12,1.2485022474038476e-11,8.667969002812121e-15,1.3156236072692306e-11,5.191151580850536e-14,2.283379552235284e-10,4.080544035382074e-12,3.7524098758130487e-10,6.862363357774029e-12,2.3177272379201167e-11,4.138798639143065e-13
3000.0,1.1960966253461535e-11,9.293552201090633e-14,1.2656421668192306e-11,1.8712067203846152e-13,2.3026056146346808e-10,4.234222748852643e-12,3.7683339305375513e-10,8.395552319123294e-12,1.2059642913576923e-11,2.6764918559412837e-13,1.2982913212961536e-11,7.35629416153846e-14,2.2837648053965157e-10,6.338597772626244e-12,3.6735686689967746e-10,6.46676299295382e-12,1.210378214480769e-11,3.0424981011872966e-13,1.2885688863230766e-11,1.3852660530458158e-13,2.275436530679069e-10,6.862749189175357e-12,3.701286265535497e-10,7.340774883074586e-12,2.2391372399736973e-11,3.731895399956161e-13
3200.0,1.1488177415307691e-11,1.1175970176923076e-13,1.196352261623077e-11,1.942791186923077e-13,2.3212415120227755e-10,4.272466822266781e-12,3.8599962223416285e-10,8.6987494640851e-12,1.1616276711461536e-11,3.458183317884965e-13,1.2221099985346152e-11,3.2926419853846153e-13,2.2956438604448122e-10,7.718289978834841e-12,3.7786412155960627e-10,1.1768672785330423e-11,1.1660587120846151e-11,3.019716891246659e-13,1.188424699003846e-11,2.4701671610339537e-14,2.286920378667832e-10,6.916881218862636e-12,3.8857448977000737e-10,6.1249605338691554e-12,2.168035310072742e-11,3.3875551719886596e-13
3400.0,1.1172925770807692e-11,5.325737261538461e-14,1.1439126135692306e-11,1.3721206038461537e-13,2.315474911668814e-10,3.57951663780403e-12,3.9164143786747193e-10,7.432343959435831e-12,1.1316939317884613e-11,7.807622554469651e-14,1.1226335686730768e-11,2.3962549153846153e-13,2.2860093692787381e-10,3.713340472089753e-12,3.990648358239632e-10,1.0343938775244327e-11,1.132182559065386e-11,3.4271980000309093e-13,1.1189565840807691e-11,6.643214665194282e-14,2.2850227735003528e-10,7.689973827512475e-12,4.00376196133677e-10,6.349600672977664e-12,2.10330319611733e-11,3.0930929354666616e-13
3600.0,1.0842377674423092e-11,6.903945072615613e-14,1.0938415951499998e-11,1.668384433846154e-13,2.3188393963456474e-10,3.542948395178776e-12,3.9802949832779134e-10,8.21080637328204e-12,1.1042026564153844e-11,1.6402548898968095e-13,1.0910255794961538e-11,1.976910182307692e-13,2.276912879663715e-10,4.630380960409881e-12,3.9905684115003867e-10,9.110619564224933e-12,1.0821718794692307e-11,8.426458188494895e-14,1.074372734030769e-11,4.755342426853508e-14,2.3232661075837556e-10,3.699268872737382e-12,4.052422474779191e-10,5.907260326736624e-12,2.0440432928057537e-11,2.8389490177857687e-13
3800.0,1.072798890126923e-11,1.015893159528826e-13,1.038677165076923e-11,1.9607216907692305e-13,2.2810580512077303e-10,3.697866873355456e-12,4.0798910097540867e-10,9.387963531419006e-12,1.0643017388423076e-11,1.1645593557836883e-13,1.0485806377615384e-11,1.9344658361538458e-13,2.2992695176018237e-10,3.934759204081141e-12,4.0413578843880084e-10,9.157706953327667e-12,1.069614377076923e-11,1.0867294367407704e-14,1.0337703578076924e-11,2.58801493150312e-13,2.2878493390658182e-10,3.0192890164600133e-12,4.0992562766270747e-10,1.159348595987215e-11,1.9895256468705162e-11,2.617796903776995e-13
