Channel,Energy,Counts
0,0.0739125,0
1,0.0759,0
2,0.0778875,0
3,0.079875,0
4,0.0818625,0
5,0.08385,0
6,0.0858375,0
7,0.087825,0
8,0.0898125,0
9,0.0918,0
10,0.0937875,0
11,0.095775,0
12,0.0977625,0
13,0.09975,0
14,0.1017375,0
15,0.103725,0
16,0.1057125,1
17,0.1077,21
18,0.1096875,37
19,0.111675,34
20,0.1136625,39
21,0.11565,53
22,0.1176375,46
23,0.119625,44
24,0.1216125,66
25,0.1236,77
26,0.1255875,65
27,0.127575,60
28,0.1295625,78
29,0.13155,90
30,0.1335375,75
31,0.135525,97
32,0.1375125,76
33,0.1395,99
34,0.1414875,109
35,0.143475,115
36,0.1454625,102
37,0.14745,96
38,0.1494375,97
39,0.151425,84
40,0.1534125,86
41,0.1554,97
42,0.1573875,98
43,0.159375,98
44,0.1613625,96
45,0.16335,94
46,0.1653375,91
47,0.167325,74
48,0.1693125,86
49,0.1713,74
50,0.1732875,74
51,0.175275,95
52,0.1772625,96
53,0.17925,68
54,0.1812375,84
55,0.183225,86
56,0.1852125,79
57,0.1872,80
58,0.1891875,71
59,0.191175,86
60,0.1931625,79
61,0.19515,81
62,0.1971375,81
63,0.199125,79
64,0.2011125,85
65,0.2031,69
66,0.2050875,63
67,0.207075,65
68,0.2090625,69
69,0.21105,62
70,0.2130375,73
71,0.215025,55
72,0.2170125,69
73,0.219,52
74,0.2209875,79
75,0.222975,61
76,0.2249625,58
77,0.22695,78
78,0.2289375,73
79,0.230925,59
80,0.2329125,67
81,0.2349,74
82,0.2368875,39
83,0.238875,64
84,0.2408625,72
85,0.24285,52
86,0.2448375,53
87,0.246825,51
88,0.2488125,46
89,0.2508,66
90,0.2527875,71
91,0.254775,57
92,0.2567625,40
93,0.25875,57
94,0.2607375,32
95,0.262725,46
96,0.2647125,55
97,0.2667,35
98,0.2686875,54
99,0.270675,52
100,0.2726625,59
101,0.27465,52
102,0.2766375,51
103,0.278625,52
104,0.2806125,42
105,0.2826,37
106,0.2845875,46
107,0.286575,39
108,0.2885625,38
109,0.29055,43
110,0.2925375,44
111,0.294525,51
112,0.2965125,45
113,0.2985,32
114,0.3004875,38
115,0.302475,39
116,0.3044625,32
117,0.30645,28
118,0.3084375,36
119,0.310425,37
120,0.3124125,25
121,0.3144,42
122,0.3163875,38
123,0.318375,37
124,0.3203625,32
125,0.32235,34
126,0.3243375,32
127,0.326325,34
128,0.3283125,31
129,0.3303,19
130,0.3322875,38
131,0.334275,35
132,0.3362625,32
133,0.33825,36
134,0.3402375,34
135,0.342225,35
136,0.3442125,31
137,0.3462,27
138,0.3481875,24
139,0.350175,30
140,0.3521625,31
141,0.35415,24
142,0.3561375,34
143,0.358125,20
144,0.3601125,30
145,0.3621,23
146,0.3640875,34
147,0.366075,30
148,0.3680625,20
149,0.37005,25
150,0.3720375,23
151,0.374025,28
152,0.3760125,20
153,0.378,21
154,0.3799875,19
155,0.381975,21
156,0.3839625,24
157,0.38595,25
158,0.3879375,25
159,0.389925,23
160,0.3919125,28
161,0.3939,18
162,0.3958875,27
163,0.397875,17
164,0.3998625,21
165,0.40185,20
166,0.4038375,22
167,0.405825,13
168,0.4078125,19
169,0.4098,20
170,0.4117875,10
171,0.413775,16
172,0.4157625,14
173,0.41775,16
174,0.4197375,18
175,0.421725,19
176,0.4237125,13
177,0.4257,14
178,0.4276875,21
179,0.429675,13
180,0.4316625,21
181,0.43365,22
182,0.4356375,18
183,0.437625,17
184,0.4396125,16
185,0.4416,10
186,0.4435875,24
187,0.445575,17
188,0.4475625,16
189,0.44955,14
190,0.4515375,11
191,0.453525,12
192,0.4555125,17
