Channel,Energy,Counts
0,0.0739125,0
1,0.0759,0
2,0.0778875,0
3,0.079875,0
4,0.0818625,0
5,0.08385,0
6,0.0858375,0
7,0.087825,0
8,0.0898125,0
9,0.0918,1
10,0.0937875,0
11,0.095775,0
12,0.0977625,0
13,0.09975,0
14,0.1017375,0
15,0.103725,4
16,0.1057125,44
17,0.1077,672
18,0.1096875,811
19,0.111675,795
20,0.1136625,779
21,0.11565,799
22,0.1176375,794
23,0.119625,855
24,0.1216125,830
25,0.1236,836
26,0.1255875,812
27,0.127575,868
28,0.1295625,824
29,0.13155,831
30,0.1335375,733
31,0.135525,749
32,0.1375125,685
33,0.1395,743
34,0.1414875,778
35,0.143475,689
36,0.1454625,686
37,0.14745,663
38,0.1494375,677
39,0.151425,699
40,0.1534125,669
41,0.1554,654
42,0.1573875,664
43,0.159375,612
44,0.1613625,626
45,0.16335,628
46,0.1653375,601
47,0.167325,676
48,0.1693125,631
49,0.1713,632
50,0.1732875,623
51,0.175275,576
52,0.1772625,626
53,0.17925,635
54,0.1812375,606
55,0.183225,576
56,0.1852125,664
57,0.1872,667
58,0.1891875,641
59,0.191175,599
60,0.1931625,621
61,0.19515,676
62,0.1971375,644
63,0.199125,666
64,0.2011125,678
65,0.2031,686
66,0.2050875,591
67,0.207075,647
68,0.2090625,614
69,0.21105,645
70,0.2130375,658
71,0.215025,657
72,0.2170125,608
73,0.219,635
74,0.2209875,653
75,0.222975,619
76,0.2249625,603
77,0.22695,662
78,0.2289375,613
79,0.230925,661
80,0.2329125,661
81,0.2349,695
82,0.2368875,616
83,0.238875,651
84,0.2408625,597
85,0.24285,634
86,0.2448375,674
87,0.246825,695
88,0.2488125,684
89,0.2508,682
90,0.2527875,694
91,0.254775,705
92,0.2567625,692
93,0.25875,709
94,0.2607375,750
95,0.262725,736
96,0.2647125,722
97,0.2667,736
98,0.2686875,741
99,0.270675,725
100,0.2726625,746
101,0.27465,695
102,0.2766375,695
103,0.278625,721
104,0.2806125,689
105,0.2826,741
106,0.2845875,709
107,0.286575,757
108,0.2885625,712
109,0.29055,710
110,0.2925375,697
111,0.294525,690
112,0.2965125,685
113,0.2985,676
114,0.3004875,705
115,0.302475,699
116,0.3044625,679
117,0.30645,588
118,0.3084375,703
119,0.310425,667
120,0.3124125,685
121,0.3144,737
122,0.3163875,646
123,0.318375,660
124,0.3203625,674
125,0.32235,682
126,0.3243375,645
127,0.326325,666
128,0.3283125,652
129,0.3303,600
130,0.3322875,644
131,0.334275,644
132,0.3362625,657
133,0.33825,686
134,0.3402375,623
135,0.342225,654
136,0.3442125,636
137,0.3462,622
138,0.3481875,594
139,0.350175,643
140,0.3521625,620
141,0.35415,651
142,0.3561375,650
143,0.358125,647
144,0.3601125,608
145,0.3621,647
146,0.3640875,672
147,0.366075,650
148,0.3680625,645
149,0.37005,644
150,0.3720375,551
151,0.374025,573
152,0.3760125,565
153,0.378,562
154,0.3799875,641
155,0.381975,644
156,0.3839625,617
157,0.38595,597
158,0.3879375,641
159,0.389925,590
160,0.3919125,609
161,0.3939,630
162,0.3958875,587
163,0.397875,608
164,0.3998625,592
165,0.40185,578
166,0.4038375,561
167,0.405825,568
168,0.4078125,647
169,0.4098,585
170,0.4117875,598
171,0.413775,535
172,0.4157625,553
173,0.41775,569
174,0.4197375,546
175,0.421725,588
176,0.4237125,601
177,0.4257,539
178,0.4276875,571
179,0.429675,530
180,0.4316625,573
181,0.43365,529
182,0.4356375,530
183,0.437625,519
184,0.4396125,564
185,0.4416,568
186,0.4435875,556
187,0.445575,511
188,0.4475625,558
189,0.44955,553
190,0.4515375,525
191,0.453525,577
192,0.4555125,478
